t,p_1,p_2,mob_A,imm_A,diss_A,seal_A,mob_B,imm_B,diss_B,seal_B,M_C,total_CO2_mass
53400,111461.5864788,105454.1131432,0.00213447121351905,0,0.00144101847185905,0.00012482138845274,0,0,2.89572318380687e-06,1.22198949915495e-12,0.426620878317767,0.00822628687457451
54000,111461.5864788,105454.1131432,0.00213447121351905,0,0.00144027928696537,0.000124823585731816,0,0,2.85329932470837e-06,1.22303333460696e-12,0.426620878317767,0.00822361743923439
54600,111461.7933216,105454.319986,0.00213447121351905,0,0.00143961591336492,0.00012482558663337,0,0,2.8121550457175e-06,1.22411203952026e-12,0.426620878317767,0.00822096388343874
55200,111461.5175312,105454.0441956,0.00213447121351905,0,0.0014390255332953,0.00012482772481649,0,0,2.77219189080355e-06,1.22521478556658e-12,0.426620878317767,0.00821837682327999
55800,111461.5175312,105454.0441956,0.00213447121351905,0,0.00143850294122517,0.000124829518656896,0,0,2.73338724263869e-06,1.22634161342683e-12,0.426620878317767,0.00821580394207999
56400,111461.6554264,105454.1820908,0.00213447121351905,0,0.00143804323570474,0.000124831219917597,0,0,2.69566608802789e-06,1.22750842096291e-12,0.426620878317767,0.00821323624799566
57000,111461.4485836,105454.0441956,0.00213447121351905,0,0.0014376414306151,0.000124832900018251,0,0,2.65895249506637e-06,1.22870379067805e-12,0.426620878317767,0.00821070003163249
57600,111461.4485836,105454.0441956,0.00213447121351905,0,0.00143729191383806,0.000124834625605024,0,0,2.6232106554526e-06,1.22994033567189e-12,0.426620878317767,0.00820821978902486
58200,111461.5864788,105454.1131432,0.00213447121351905,0,0.00143698837167939,0.000124836232796832,0,0,2.58844066915328e-06,1.23121083871729e-12,0.426620878317767,0.00820580437001742
58800,111461.9312168,105454.4578812,0.00213447121351905,0,0.00143672556825624,0.000124837636423408,0,0,2.55463641560315e-06,1.23251057096334e-12,0.426620878317767,0.00820340525395438
59400,111461.4485836,105453.975248,0.00213447121351905,0,0.00143650058531449,0.00012483892059198,0,0,2.52173414512515e-06,1.23384174273864e-12,0.426620878317767,0.00820102277759784
60000,111461.5864788,105454.1131432,0.00213447121351905,0,0.00143631151943623,0.000124840205850451,0,0,2.48966961100098e-06,1.23520429433584e-12,0.426620878317767,0.00819866527675098
60600,111461.5175312,105454.0441956,0.00213447121351905,0,0.00143615620097513,0.00012484150303948,0,0,2.45840155619607e-06,1.23660396201518e-12,0.426620878317767,0.00819635110098112
61200,111461.5175312,105454.0441956,0.00213447121351905,0,0.00143603203351,0.000124842803882058,0,0,2.42790947772873e-06,1.238039419638e-12,0.426620878317767,0.00819408618021848
61800,111461.5175312,105454.0441956,0.00213447121351905,0,0.00143593669757818,0.000124844093035288,0,0,2.39816754201017e-06,1.23950132276952e-12,0.426620878317767,0.00819189829473328
62400,111461.5175312,105454.0441956,0.00213447121351905,0,0.00143586737653367,0.000124845247958436,0,0,2.36918294623244e-06,1.24099671654071e-12,0.426620878317767,0.00818973453230772
63000,111461.5864788,105454.1131432,0.00213447121351905,0,0.00143582232768392,0.000124846338724041,0,0,2.34090795250475e-06,1.24252379686418e-12,0.426620878317767,0.00818760764529652
63600,111461.5175312,105454.0441956,0.00213447121351905,0,0.00143579907346002,0.000124847424870397,0,0,2.31330736307337e-06,1.24408521484668e-12,0.426620878317767,0.00818553802428949
64200,111461.5175312,105454.0441956,0.00213447121351905,0,0.00143579403507862,0.000124848449335134,0,0,2.28636819672722e-06,1.2456726074139e-12,0.426620878317767,0.00818351023884379
64800,111461.5864788,105454.1131432,0.00213447121351905,0,0.00143580415425831,0.000124849451957622,0,0,2.26006100704775e-06,1.24730649474196e-12,0.426620878317767,0.0081815338653855
65400,111461.5864788,105454.1131432,0.00213447121351905,0,0.00143582624017111,0.00012485044075255,0,0,2.2343603772277e-06,1.24897326861536e-12,0.426620878317767,0.00817960989805928
66000,111461.4485836,105453.975248,0.00213447121351905,0,0.001435856549333,0.000124851372977025,0,0,2.20925917317352e-06,1.25067043392637e-12,0.426620878317767,0.00817773685015595
66600,111461.6554264,105454.1820908,0.00213447121351905,0,0.00143589247522645,0.000124852245471043,0,0,2.18473906617764e-06,1.25240740389011e-12,0.426620878317767,0.0081759158304941
67200,111461.5175312,105454.0441956,0.00213447121351905,0,0.001435932559285,0.00012485308747783,0,0,2.16077518634711e-06,1.25418310290265e-12,0.426620878317767,0.00817413522180078
67800,111461.5864788,105454.1131432,0.00213447121351905,0,0.0014359762307975,0.000124853917956866,0,0,2.13733957621264e-06,1.25599433078704e-12,0.426620878317767,0.0081724031861458
68400,111461.5175312,105454.0441956,0.00213447121351905,0,0.00143602335121184,0.00012485474038629,0,0,2.11441594710588e-06,1.25784334850602e-12,0.426620878317767,0.00817071867007519
69000,111461.5175312,105454.0441956,0.00213447121351905,0,0.00143607428232712,0.000124855543932931,0,0,2.09199296157711e-06,1.25973027254699e-12,0.426620878317767,0.00816907367451161
69600,111461.5175312,105454.0441956,0.00213447121351905,0,0.00143612997988467,0.000124856337851176,0,0,2.07005161715088e-06,1.2616567896319e-12,0.426620878317767,0.00816746432168539
70200,111461.5175312,105454.0441956,0.00213447121351905,0,0.00143619181805539,0.000124857148829589,0,0,2.04856838024305e-06,1.26362423585073e-12,0.426620878317767,0.00816590808490571
70800,111461.5175312,105454.0441956,0.00213447121351905,0,0.00143626074403188,0.000124857945328111,0,0,2.02753708784636e-06,1.26563150545368e-12,0.426620878317767,0.00816440916881143
71400,111461.5175312,105454.0441956,0.00213447121351905,0,0.00143633701910664,0.000124858693405431,0,0,2.00696236253193e-06,1.26767737415539e-12,0.426620878317767,0.00816295170147528
72000,111461.5175312,105454.0441956,0.00213447121351905,0,0.00143642226548611,0.00012485940859859,0,0,1.98681804337121e-06,1.26976136839737e-12,0.426620878317767,0.00816152090505131
72600,111461.5175312,105454.0441956,0.00213447121351905,0,0.00143651792618262,0.000124860141435702,0,0,1.96707958582763e-06,1.27188722864604e-12,0.426620878317767,0.00816012854382218
73200,111461.5175312,105454.0441956,0.00213447121351905,0,0.00143662481369089,0.000124860880925298,0,0,1.94773631691894e-06,1.27405531226524e-12,0.426620878317767,0.00815878667724621
73800,111461.5175312,105454.0441956,0.00213447121351905,0,0.00143674306704827,0.000124861606880898,0,0,1.92878762705741e-06,1.27626606764283e-12,0.426620878317767,0.00815746863016842
74400,111461.5175312,105454.0441956,0.00213447121351905,0,0.00143687373115491,0.000124862342343163,0,0,1.91021009606789e-06,1.2785216814004e-12,0.426620878317767,0.00815617829706631
75000,111461.5175312,105454.0441956,0.00213447121351905,0,0.00143701724529117,0.000124863107025499,0,0,1.89198812208019e-06,1.28082384435755e-12,0.426620878317767,0.00815494873301153
75600,111461.5175312,105454.0441956,0.00213447121351905,0,0.00143717287052932,0.00012486385032925,0,0,1.8741312131341e-06,1.28316949711735e-12,0.426620878317767,0.00815372884342767
76200,111461.5175312,105454.0441956,0.00213447121351905,0,0.00143734082605942,0.000124864613754368,0,0,1.85661269507414e-06,1.28556408618517e-12,0.426620878317767,0.0081525653652209
76800,111461.5175312,105454.0441956,0.00213447121351905,0,0.00143751933402356,0.000124865338446073,0,0,1.83944712087443e-06,1.28800671478596e-12,0.426620878317767,0.00815142600769851
77400,111461.5175312,105454.0441956,0.00213447121351905,0,0.00143770878942545,0.000124866052014922,0,0,1.82261321410603e-06,1.29049908456845e-12,0.426620878317767,0.00815031685080176
78000,111461.5175312,105454.0441956,0.00213447121351905,0,0.00143790889940478,0.00012486675716934,0,0,1.80610200696892e-06,1.29304263464642e-12,0.426620878317767,0.00814922029773774
78600,111461.5175312,105454.1131432,0.00213447121351905,0,0.00143812030385704,0.000124867509705552,0,0,1.78988697880298e-06,1.29563896364473e-12,0.426620878317767,0.00814817094875345
79200,111461.5175312,105454.0441956,0.00213447121351905,0,0.00143834165834575,0.000124868248937551,0,0,1.77397901616307e-06,1.29828694093592e-12,0.426620878317767,0.00814713107240675
79800,111461.5175312,105454.0441956,0.00213447121351905,0,0.00143857352703059,0.000124869029515856,0,0,1.75835365835114e-06,1.30098888514076e-12,0.426620878317767,0.00814610999408442
80400,111461.5175312,105454.0441956,0.00213447121351905,0,0.00143881575760478,0.000124869857244034,0,0,1.74299972255861e-06,1.3037449256243e-12,0.426620878317767,0.00814511323719664
81000,111461.5175312,105454.0441956,0.00213447121351905,0,0.00143906790745626,0.000124870719004048,0,0,1.72791322436067e-06,1.30655553477416e-12,0.426620878317767,0.0081441661389285
81600,111461.5175312,105454.1131432,0.00213447121351905,0,0.00143932830809155,0.000124871555097102,0,0,1.71311232274797e-06,1.30941885172322e-12,0.426620878317767,0.00814322913981782
82200,111461.5175312,105454.1131432,0.00213447121351905,0,0.00143959781020088,0.000124872426584297,0,0,1.69856736808806e-06,1.31233564241806e-12,0.426620878317767,0.00814232405598909
82800,111461.5175312,105454.1131432,0.00213447121351905,0,0.00143987548251364,0.000124873305200543,0,0,1.68427826763925e-06,1.31530468871938e-12,0.426620878317767,0.00814144272316348
83400,111461.5175312,105454.1131432,0.00213447121351905,0,0.00144016073593697,0.000124874193086903,0,0,1.67024056927048e-06,1.318328145054e-12,0.426620878317767,0.00814056836455988
84000,111461.5175312,105454.1131432,0.00213447121351905,0,0.00144045376736377,0.000124875129950348,0,0,1.65643610927971e-06,1.32140748477921e-12,0.426620878317767,0.00813973065713944
84600,111461.5175312,105454.1131432,0.00213447121351905,0,0.00144075324882202,0.000124876064502026,0,0,1.64287536588054e-06,1.3245425460425e-12,0.426620878317767,0.00813890023417924
85200,111461.5175312,105454.1131432,0.00213447121351905,0,0.00144105957168431,0.000124877031291958,0,0,1.62953980017292e-06,1.32773456220254e-12,0.426620878317767,0.00813808274220299
85800,111461.5175312,105454.0441956,0.00213447121351905,0,0.00144137290419553,0.000124878051884962,0,0,1.61641815488245e-06,1.33098402437842e-12,0.426620878317767,0.00813728066171524
86400,111461.5175312,105454.0441956,0.00213447121351905,0,0.00144169309113986,0.000124879123250841,0,0,1.60350496400093e-06,1.33429165168801e-12,0.426620878317767,0.0081364940875317
87000,111461.5175312,105454.1131432,0.00213447121351905,0,0.00144202003915362,0.000124880242544673,0,0,1.59079551403921e-06,1.33765768295922e-12,0.426620878317767,0.00813574929007528
87600,111461.5175312,105454.1131432,0.00213447121351905,0,0.00144235294264412,0.000124881369379835,0,0,1.5782989722189e-06,1.34107822406816e-12,0.426620878317767,0.00813500332138176
88200,111461.5175312,105454.1131432,0.00213447121351905,0,0.0014426923924876,0.000124882539663561,0,0,1.56599976858416e-06,1.3445581130359e-12,0.426620878317767,0.00813428726626192
88800,111461.5175312,105454.1131432,0.00213447121351905,0,0.00144303770255664,0.000124883710919508,0,0,1.55390632800281e-06,1.34809839151528e-12,0.426620878317767,0.00813357250704989
89400,111461.5175312,105454.1131432,0.00213447121351905,0,0.00144338977739282,0.000124884939980828,0,0,1.54199823549259e-06,1.35170018106066e-12,0.426620878317767,0.00813288678365577
90000,111461.5175312,105454.1131432,0.00213447121351905,0,0.00144374778824211,0.000124886172981064,0,0,1.53028355950395e-06,1.35536416332692e-12,0.426620878317767,0.00813222584064163
90600,111461.5175312,105454.1131432,0.00213447121351905,0,0.00144411119637743,0.000124887411233918,0,0,1.51876348513901e-06,1.35909104133456e-12,0.426620878317767,0.00813156408347442
91200,111461.5175312,105454.1131432,0.00213447121351905,0,0.00144448099083152,0.000124888696882403,0,0,1.50741556970252e-06,1.36288242161076e-12,0.426620878317767,0.0081309232970461
